beer_id,abv,brewery_uuid,ibu,name,ounces,style
17bbddb6-9600-446d-a594-dfbf4ec890d7,0.05,257e9aac-7dbe-4656-b366-9d8a94c49d58,45,Citrafest,16,American IPA
41042a9f-7dd9-48f0-acd4-795b9dbd7bef,0.09,257e9aac-7dbe-4656-b366-9d8a94c49d58,,Barn Yeti,16,Belgian Strong Dark Ale
93d0409e-bd35-434a-8f8f-23f45de9625d,0.069,257e9aac-7dbe-4656-b366-9d8a94c49d58,65,Scarecrow,16,American IPA
59966c32-7963-4194-863d-cb5cb43329b7,0.09,257e9aac-7dbe-4656-b366-9d8a94c49d58,50,Ironman,16,English Strong Ale
6be47e0b-687f-4770-8528-9a9f9c6b8823,0.046,257e9aac-7dbe-4656-b366-9d8a94c49d58,15,Honey Kolsch,16,Kölsch
add8e20d-f119-48af-977b-13c34097b2b4,0.052,257e9aac-7dbe-4656-b366-9d8a94c49d58,18,Copperhead Amber,16,Belgian Dark Ale
8f5ea349-f394-4429-84e1-70a617cf5678,0.065,728f9750-1c56-48be-9f96-b26d04215958,52,Jockamo IPA,12,American IPA
4249e65c-4db9-41a2-905f-e3e03fcf8131,0.042,728f9750-1c56-48be-9f96-b26d04215958,13,Purple Haze,12,Fruit / Vegetable Beer
560a9e9d-9ca2-45be-8d6f-f98876516af2,0.045,728f9750-1c56-48be-9f96-b26d04215958,17,Abita Amber,12,American Amber / Red Lager
afbb3897-02cd-4c40-a945-b7ce26326fe7,0.0819999999999999,3d00e6db-0f45-43a5-add5-b9455edfdccb,68,Citra Ass Down,16,American IPA
e72c68fa-eb4e-4bde-b8d1-ec33867e20e1,0.05,3d00e6db-0f45-43a5-add5-b9455edfdccb,20,The Brown Note,16,American Brown Ale
24131132-cfd8-4f2d-aad0-4680b2b06466,0.08,3d00e6db-0f45-43a5-add5-b9455edfdccb,68,Citra Ass Down,16,American Double / Imperial IPA
b0f91e3d-2a13-4c11-8aeb-137326a66c44,0.125,3d00e6db-0f45-43a5-add5-b9455edfdccb,80,London Balling,16,English Barleywine
c8d283b0-30cf-4752-b17e-18040d068402,0.077,3d00e6db-0f45-43a5-add5-b9455edfdccb,25,35 K,16,Milk / Sweet Stout
0cdecd98-d75d-49a7-9e57-ee20d2d79fca,0.042,3d00e6db-0f45-43a5-add5-b9455edfdccb,42,A Beer,16,American Pale Ale (APA)
f3743c2b-c013-4b45-b772-38609a9a0d22,0.05,3d00e6db-0f45-43a5-add5-b9455edfdccb,25,Rules are Rules,16,German Pilsener
8cd8f6dd-adf4-48a7-9aee-84fa425c7ce2,0.066,3d00e6db-0f45-43a5-add5-b9455edfdccb,21,Flesh Gourd'n,16,Pumpkin Ale
629e7df8-3e6a-4e37-ade3-7b9c1ab761e4,0.04,3d00e6db-0f45-43a5-add5-b9455edfdccb,13,Sho'nuff,16,Belgian Pale Ale
894f8a5c-1248-4b89-8fa6-47e4316d14c6,0.055,3d00e6db-0f45-43a5-add5-b9455edfdccb,17,Bloody Show,16,American Pilsner
3249585f-43ae-4597-8732-3f05ad5715c4,0.076,3d00e6db-0f45-43a5-add5-b9455edfdccb,68,Rico Sauvin,16,American Double / Imperial IPA
3c2b60b6-8b33-415c-bc49-0781bda3cf0d,0.051,3d00e6db-0f45-43a5-add5-b9455edfdccb,38,Coq de la Marche,16,Saison / Farmhouse Ale
2d36033b-ecf9-4937-a0c9-1adaf808fb0d,0.065,3d00e6db-0f45-43a5-add5-b9455edfdccb,,Kamen Knuddeln,16,American Wild Ale
33f14017-a23a-4385-8612-44c67ca9ea93,0.06,3d00e6db-0f45-43a5-add5-b9455edfdccb,65,Pile of Face,16,American IPA
e1bf03b0-d4cb-4816-9a76-5598dc754462,0.05,3d00e6db-0f45-43a5-add5-b9455edfdccb,20,The Brown Note,16,English Brown Ale
737e525f-afa4-4607-b362-7dc80f709cfd,0.04,b7db853a-e8aa-430f-84c8-d49b72184d01,20,P-Town Pilsner,12,American Pilsner
