abv,ibu,id,name,style,brewery_id,ounces,breweryUuid
0.077,25.0,2684,35 K,Milk / Sweet Stout,1,16.0,3d00e6db-0f45-43a5-add5-b9455edfdccb
0.042,42.0,2683,A Beer,American Pale Ale (APA),1,16.0,3d00e6db-0f45-43a5-add5-b9455edfdccb
0.05,25.0,2682,Rules are Rules,German Pilsener,1,16.0,3d00e6db-0f45-43a5-add5-b9455edfdccb
0.066,21.0,2681,Flesh Gourd'n,Pumpkin Ale,1,16.0,3d00e6db-0f45-43a5-add5-b9455edfdccb
0.04,13.0,2680,Sho'nuff,Belgian Pale Ale,1,16.0,3d00e6db-0f45-43a5-add5-b9455edfdccb
0.055,17.0,2679,Bloody Show,American Pilsner,1,16.0,3d00e6db-0f45-43a5-add5-b9455edfdccb
0.076,68.0,2678,Rico Sauvin,American Double / Imperial IPA,1,16.0,3d00e6db-0f45-43a5-add5-b9455edfdccb
0.051,38.0,2677,Coq de la Marche,Saison / Farmhouse Ale,1,16.0,3d00e6db-0f45-43a5-add5-b9455edfdccb
0.065,,2676,Kamen Knuddeln,American Wild Ale,1,16.0,3d00e6db-0f45-43a5-add5-b9455edfdccb
0.06,65.0,2675,Pile of Face,American IPA,1,16.0,3d00e6db-0f45-43a5-add5-b9455edfdccb
0.05,20.0,2674,The Brown Note,English Brown Ale,1,16.0,3d00e6db-0f45-43a5-add5-b9455edfdccb
0.04,20.0,2403,P-Town Pilsner,American Pilsner,117,12.0,b7db853a-e8aa-430f-84c8-d49b72184d01
0.053,36.0,2402,Klickitat Pale Ale,American Pale Ale (APA),117,12.0,b7db853a-e8aa-430f-84c8-d49b72184d01
0.0819999999999999,103.0,2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,117,12.0,b7db853a-e8aa-430f-84c8-d49b72184d01
0.053,40.0,1921,Freeride APA,American Pale Ale (APA),270,12.0,be30d928-4a14-45eb-a944-89b01b544080
0.053,18.0,1920,Alaskan Amber,Altbier,270,12.0,be30d928-4a14-45eb-a944-89b01b544080
0.057,,2501,Hopalicious,American Pale Ale (APA),73,12.0,c812aa3f-208b-49e2-a1e6-96cae8943605
0.059,,2592,Liberty Ale,American IPA,35,12.0,274b3acf-4f2c-40f0-8ac7-29506f2e8f5c
0.065,,2578,IPA,American IPA,35,12.0,274b3acf-4f2c-40f0-8ac7-29506f2e8f5c
0.045,,2577,Summer Wheat,American Pale Wheat Ale,35,12.0,274b3acf-4f2c-40f0-8ac7-29506f2e8f5c
0.049,,2103,California Lager,American Amber / Red Lager,35,12.0,274b3acf-4f2c-40f0-8ac7-29506f2e8f5c
0.0559999999999999,,2102,Brotherhood Steam,California Common / Steam Beer,35,12.0,274b3acf-4f2c-40f0-8ac7-29506f2e8f5c
0.042,,2291,Blood Orange Gose,Gose,171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.042,,1818,Keebarlin' Pale Ale,American Pale Ale (APA),171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.048,,1738,"the Kimmie, the Yink and the Holy Gose",Gose,171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.06,,1563,Fall Hornin',Pumpkin Ale,171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.057,13.0,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.0559999999999999,4.0,1350,Summer Solstice,Cream Ale,171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.07,80.0,1327,Hop Ottin' IPA,American IPA,171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.0579999999999999,15.0,1326,Boont Amber Ale,American Amber / Red Ale,171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.057,13.0,1221,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.055,25.0,1217,El Steinber Dark Lager,Vienna Lager,171,16.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.0579999999999999,15.0,811,Boont Amber Ale (2010),American Amber / Red Ale,171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.0559999999999999,4.0,753,Summer Solstice Cerveza Crema (2009),Cream Ale,171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.057,13.0,572,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.069,6.0,523,Winter Solstice,Winter Warmer,171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.07,80.0,367,Hop Ottin' IPA (2011),American IPA,171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.0579999999999999,15.0,78,Boont Amber Ale (2011),American Amber / Red Ale,171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.0559999999999999,4.0,77,Summer Solstice (2011),Cream Ale,171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
0.055,28.0,76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),171,12.0,55bbdf14-e891-4572-9ed2-9c6bf25edda9
